implementation,payload_bytes,capacity_items,items_per_second_median,benchmark_name,source_file
SPSCBufferBaseline,1,1,6011206,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,1,4,8224559,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,1,64,8170842,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,1,256,8348218,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,1,1024,8026660,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,1,4096,8002281,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,1,16384,8038215,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,1,32768,8038920,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,2,1,5126279,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,2,4,7894553,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,2,64,8244295,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,2,256,8284887,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,2,1024,8290739,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,2,4096,8304256,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,2,16384,8306944,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,2,32768,8319068,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,4,1,5420338,BM_SPSCBufferBaseline<bench::data::BenchPayload<4>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,4,4,7785371,BM_SPSCBufferBaseline<bench::data::BenchPayload<4>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,4,64,7483708,BM_SPSCBufferBaseline<bench::data::BenchPayload<4>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,4,256,7503374,BM_SPSCBufferBaseline<bench::data::BenchPayload<4>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,4,1024,8181624,BM_SPSCBufferBaseline<bench::data::BenchPayload<4>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,4,4096,8165986,BM_SPSCBufferBaseline<bench::data::BenchPayload<4>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,4,16384,8281569,BM_SPSCBufferBaseline<bench::data::BenchPayload<4>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,4,32768,8208888,BM_SPSCBufferBaseline<bench::data::BenchPayload<4>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,8,1,5239686,BM_SPSCBufferBaseline<bench::data::BenchPayload<8>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,8,4,8043375,BM_SPSCBufferBaseline<bench::data::BenchPayload<8>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,8,64,8921331,BM_SPSCBufferBaseline<bench::data::BenchPayload<8>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,8,256,7667785,BM_SPSCBufferBaseline<bench::data::BenchPayload<8>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,8,1024,8922645,BM_SPSCBufferBaseline<bench::data::BenchPayload<8>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,8,4096,8280286,BM_SPSCBufferBaseline<bench::data::BenchPayload<8>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,8,16384,8828287,BM_SPSCBufferBaseline<bench::data::BenchPayload<8>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,8,32768,8309971,BM_SPSCBufferBaseline<bench::data::BenchPayload<8>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,16,1,5353434,BM_SPSCBufferBaseline<bench::data::BenchPayload<16>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,16,4,8507588,BM_SPSCBufferBaseline<bench::data::BenchPayload<16>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,16,64,10011717,BM_SPSCBufferBaseline<bench::data::BenchPayload<16>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,16,256,9995210,BM_SPSCBufferBaseline<bench::data::BenchPayload<16>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,16,1024,10499111,BM_SPSCBufferBaseline<bench::data::BenchPayload<16>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,16,4096,10278265,BM_SPSCBufferBaseline<bench::data::BenchPayload<16>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,16,16384,10297978,BM_SPSCBufferBaseline<bench::data::BenchPayload<16>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,16,32768,10296724,BM_SPSCBufferBaseline<bench::data::BenchPayload<16>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,64,1,3849795,BM_SPSCBufferBaseline<bench::data::BenchPayload<64>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,64,4,8858049,BM_SPSCBufferBaseline<bench::data::BenchPayload<64>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,64,64,11180895,BM_SPSCBufferBaseline<bench::data::BenchPayload<64>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,64,256,11419200,BM_SPSCBufferBaseline<bench::data::BenchPayload<64>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,64,1024,12989417,BM_SPSCBufferBaseline<bench::data::BenchPayload<64>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,64,4096,13098381,BM_SPSCBufferBaseline<bench::data::BenchPayload<64>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,64,16384,11346719,BM_SPSCBufferBaseline<bench::data::BenchPayload<64>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,64,32768,11698214,BM_SPSCBufferBaseline<bench::data::BenchPayload<64>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,256,1,3817147,BM_SPSCBufferBaseline<bench::data::BenchPayload<256>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,256,4,10073366,BM_SPSCBufferBaseline<bench::data::BenchPayload<256>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,256,64,13397663,BM_SPSCBufferBaseline<bench::data::BenchPayload<256>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,256,256,13109310,BM_SPSCBufferBaseline<bench::data::BenchPayload<256>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,256,1024,12667273,BM_SPSCBufferBaseline<bench::data::BenchPayload<256>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,256,4096,12970166,BM_SPSCBufferBaseline<bench::data::BenchPayload<256>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,256,16384,13323153,BM_SPSCBufferBaseline<bench::data::BenchPayload<256>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferBaseline,256,32768,13260176,BM_SPSCBufferBaseline<bench::data::BenchPayload<256>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,1,1,4436563,BM_SPSCBufferStage1<bench::data::BenchPayload<1>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,1,4,18805326,BM_SPSCBufferStage1<bench::data::BenchPayload<1>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,1,64,44478781,BM_SPSCBufferStage1<bench::data::BenchPayload<1>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,1,256,44632129,BM_SPSCBufferStage1<bench::data::BenchPayload<1>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,1,1024,45202980,BM_SPSCBufferStage1<bench::data::BenchPayload<1>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,1,4096,44981224,BM_SPSCBufferStage1<bench::data::BenchPayload<1>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,1,16384,44911709,BM_SPSCBufferStage1<bench::data::BenchPayload<1>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,1,32768,44753187,BM_SPSCBufferStage1<bench::data::BenchPayload<1>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,2,1,4288878,BM_SPSCBufferStage1<bench::data::BenchPayload<2>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,2,4,18894758,BM_SPSCBufferStage1<bench::data::BenchPayload<2>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,2,64,45116582,BM_SPSCBufferStage1<bench::data::BenchPayload<2>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,2,256,45534190,BM_SPSCBufferStage1<bench::data::BenchPayload<2>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,2,1024,45901610,BM_SPSCBufferStage1<bench::data::BenchPayload<2>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,2,4096,45862597,BM_SPSCBufferStage1<bench::data::BenchPayload<2>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,2,16384,45900638,BM_SPSCBufferStage1<bench::data::BenchPayload<2>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,2,32768,45922687,BM_SPSCBufferStage1<bench::data::BenchPayload<2>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,4,1,4407883,BM_SPSCBufferStage1<bench::data::BenchPayload<4>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,4,4,18518758,BM_SPSCBufferStage1<bench::data::BenchPayload<4>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,4,64,45683753,BM_SPSCBufferStage1<bench::data::BenchPayload<4>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,4,256,46055238,BM_SPSCBufferStage1<bench::data::BenchPayload<4>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,4,1024,46026610,BM_SPSCBufferStage1<bench::data::BenchPayload<4>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,4,4096,46099445,BM_SPSCBufferStage1<bench::data::BenchPayload<4>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,4,16384,46254302,BM_SPSCBufferStage1<bench::data::BenchPayload<4>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,4,32768,46270525,BM_SPSCBufferStage1<bench::data::BenchPayload<4>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,8,1,4622153,BM_SPSCBufferStage1<bench::data::BenchPayload<8>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,8,4,18761833,BM_SPSCBufferStage1<bench::data::BenchPayload<8>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,8,64,45774320,BM_SPSCBufferStage1<bench::data::BenchPayload<8>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,8,256,46062452,BM_SPSCBufferStage1<bench::data::BenchPayload<8>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,8,1024,46142882,BM_SPSCBufferStage1<bench::data::BenchPayload<8>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,8,4096,46294700,BM_SPSCBufferStage1<bench::data::BenchPayload<8>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,8,16384,46299741,BM_SPSCBufferStage1<bench::data::BenchPayload<8>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,8,32768,46360794,BM_SPSCBufferStage1<bench::data::BenchPayload<8>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,16,1,4453801,BM_SPSCBufferStage1<bench::data::BenchPayload<16>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,16,4,18703852,BM_SPSCBufferStage1<bench::data::BenchPayload<16>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,16,64,43523072,BM_SPSCBufferStage1<bench::data::BenchPayload<16>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,16,256,43798120,BM_SPSCBufferStage1<bench::data::BenchPayload<16>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,16,1024,44378701,BM_SPSCBufferStage1<bench::data::BenchPayload<16>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,16,4096,44140186,BM_SPSCBufferStage1<bench::data::BenchPayload<16>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,16,16384,44557667,BM_SPSCBufferStage1<bench::data::BenchPayload<16>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,16,32768,44459290,BM_SPSCBufferStage1<bench::data::BenchPayload<16>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
SPSCBufferStage1,64,1,4441527,BM_SPSCBufferStage1<bench::data::BenchPayload<64>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-staged.json
